url,pmcid,pmid,doi,pii,provenance_url,note
https://www.nature.com/articles/nn0799_597,,,10.1038/10154,,https://www.nature.com/articles/nn0799_597,Nature article citation metadata maps the legacy URL slug to DOI 10.1038/10154; the verifier must still confirm the DOI through Crossref.
https://link.springer.com/article/10.1007/s004210050065?noAccess=true,,10751106,10.1007/s004210050065,,https://pubmed.ncbi.nlm.nih.gov/10751106/,PubMed and the official Springer citation identify this legacy article URL as PMID 10751106 and DOI 10.1007/s004210050065; the verifier must still confirm it through Europe PMC.
https://link.springer.com/article/10.1007/s004210050065,,10751106,10.1007/s004210050065,,https://pubmed.ncbi.nlm.nih.gov/10751106/,PubMed and the official Springer citation identify this canonical article URL as PMID 10751106 and DOI 10.1007/s004210050065; the verifier must still confirm it through Europe PMC.
https://link.springer.com/article/10.1007/s004210050065?noAccess=true#article-info,,10751106,10.1007/s004210050065,,https://pubmed.ncbi.nlm.nih.gov/10751106/,PubMed and the official Springer citation identify this fragment variant as PMID 10751106 and DOI 10.1007/s004210050065; the verifier must still confirm it through Europe PMC.
https://link.springer.com/article/10.1007/s40279-022-01644-9,,35157264,10.1007/s40279-022-01644-9,,https://pubmed.ncbi.nlm.nih.gov/35157264/,PubMed and the official Springer citation identify this systematic review as PMID 35157264 and DOI 10.1007/s40279-022-01644-9; the verifier must still confirm it through Europe PMC.
https://www.pnas.org/doi/10.1073/pnas.2113290119,PMC8944904,35286195,10.1073/pnas.2113290119,,https://pubmed.ncbi.nlm.nih.gov/35286195/,PubMed and the official PNAS citation identify this laboratory study as PMID 35286195 and PMCID PMC8944904; the verifier must still confirm it through Europe PMC.
https://onlinelibrary.wiley.com/doi/10.1002/jbio.202300521,,38378043,10.1002/jbio.202300521,,https://pubmed.ncbi.nlm.nih.gov/38378043/,PubMed and the official Wiley citation identify this randomized human experiment as PMID 38378043; the verifier must still confirm it through Europe PMC.
https://onlinelibrary.wiley.com/doi/10.1002/lsm.22791,PMC6099480,29356026,10.1002/lsm.22791,,https://pubmed.ncbi.nlm.nih.gov/29356026/,PubMed and the official Wiley citation identify this systematic review as PMID 29356026 and PMCID PMC6099480; the verifier must still confirm it through Europe PMC.
https://onlinelibrary.wiley.com/doi/10.1111/php.12642,PMC5366283,27716949,10.1111/php.12642,,https://pubmed.ncbi.nlm.nih.gov/27716949/,PubMed and the official Wiley citation identify this mouse UVB experiment as PMID 27716949 and PMCID PMC5366283; the verifier must still confirm it through Europe PMC.
https://onlinelibrary.wiley.com/doi/10.1111/j.1748-1716.1986.tb08000.x,,3788622,10.1111/j.1748-1716.1986.tb08000.x,,https://pubmed.ncbi.nlm.nih.gov/3788622/,PubMed and the official Wiley citation identify this repeated-sauna endocrine study as PMID 3788622 and DOI 10.1111/j.1748-1716.1986.tb08000.x; the verifier must still confirm it through Europe PMC.
https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-018-1198-0,PMC6262976,30486813,10.1186/s12916-018-1198-0,,https://pubmed.ncbi.nlm.nih.gov/30486813/,PubMed and the official BMC citation identify this prospective sauna cohort as PMID 30486813 and PMCID PMC6262976; the verifier must still confirm it through Europe PMC.
https://link.springer.com/article/10.1186/s12916-018-1198-0,PMC6262976,30486813,10.1186/s12916-018-1198-0,,https://pubmed.ncbi.nlm.nih.gov/30486813/,PubMed and the official Springer citation identify this prospective sauna cohort as PMID 30486813 and PMCID PMC6262976; the verifier must still confirm it through Europe PMC.
