episode_id,title,url,date_published,episode_number,duration,topic_urls,youtube_urls,has_show_notes,has_timestamps,fetch_ok
a-science-supported-journaling-protocol-to-improve-mental-physical-health,A Science-Supported Journaling Protocol to Improve Mental & Physical Health,https://www.hubermanlab.com/episode/a-science-supported-journaling-protocol-to-improve-mental-physical-health,2023-11-20T09:00:00.000Z,151,PT1H38M22S,https://www.hubermanlab.com/topics/happiness-and-wellbeing;https://www.hubermanlab.com/topics/mental-health,https://www.youtube.com/watch?v=wAZn9dF3XTo,True,True,True
accelerate-learning-and-increase-cognitive-capacity-tommy-wood,Accelerate Learning & Increase Cognitive Capacity | Dr. Tommy Wood,https://www.hubermanlab.com/episode/accelerate-learning-and-increase-cognitive-capacity-tommy-wood,2026-07-20T08:00:00.000Z,290,,https://www.hubermanlab.com/topics/memory-and-learning,https://www.youtube.com/watch?v=bPd9NnOzx78,True,True,True
adderall-stimulants-and-modafinil-for-adhd-short-and-long-term-effects,"Adderall, Stimulants & Modafinil for ADHD: Short- & Long-Term Effects",https://www.hubermanlab.com/episode/adderall-stimulants-and-modafinil-for-adhd-short-and-long-term-effects,2023-05-29T08:00:00.000Z,,,https://www.hubermanlab.com/topics/science-of-adhd,https://www.youtube.com/watch?v=sxgCC4H1dl8,True,True,True
adhd-and-how-anyone-can-improve-their-focus,ADHD & How Anyone Can Improve Their Focus,https://www.hubermanlab.com/episode/adhd-and-how-anyone-can-improve-their-focus,2021-09-13T08:00:00.000Z,37,,https://www.hubermanlab.com/topics/focus-and-concentration;https://www.hubermanlab.com/topics/science-of-adhd,https://www.youtube.com/watch?v=hFL6qRIJZ_Y,True,True,True
ama-1-leveraging-ultradian-cycles-how-to-protect-your-brain-seed-oils-examined-and-more,"AMA #1: Leveraging Ultradian Cycles, How to Protect Your Brain, Seed Oils Examined and More",https://www.hubermanlab.com/episode/ama-1-leveraging-ultradian-cycles-how-to-protect-your-brain-seed-oils-examined-and-more,2022-11-02T08:00:00.000Z,,,https://www.hubermanlab.com/topics/aging-and-longevity,https://www.youtube.com/watch?v=lsODSDmY4CY,True,True,True
ama-10-benefits-of-nature-grounding-hearing-loss-research-avoiding-altitude-sickness,"AMA #10: Benefits of Nature & “Grounding,"" Hearing Loss Research & Avoiding Altitude Sickness",https://www.hubermanlab.com/episode/ama-10-benefits-of-nature-grounding-hearing-loss-research-avoiding-altitude-sickness,,,,,https://www.youtube.com/watch?v=eJU6Df_ffAE,True,True,True
ama-11-improve-task-switching-productivity-and-brain-fog,AMA #11: Improve Task Switching & Productivity and Reduce Brain Fog,https://www.hubermanlab.com/episode/ama-11-improve-task-switching-productivity-and-brain-fog,2023-09-29T08:00:00.000Z,,,,https://www.youtube.com/watch?v=7Ey_vTTgJGc,True,True,True
ama-12-thoughts-on-longevity-supplements-how-to-improve-memory,"AMA #12: Thoughts on Longevity Supplements (Resveratrol, NR, NMN, Etc.) & How to Improve Memory",https://www.hubermanlab.com/episode/ama-12-thoughts-on-longevity-supplements-how-to-improve-memory,2023-10-31T08:00:00.000Z,,,https://www.hubermanlab.com/topics/aging-and-longevity,https://www.youtube.com/watch?v=qJ3uV7coZbA,True,True,True
ama-13-winter-months-sickness-wim-hof-breathing-stressors,"AMA #13: Winter Months & Sickness, Wim Hof Breathing & Stressors",https://www.hubermanlab.com/episode/ama-13-winter-months-sickness-wim-hof-breathing-stressors,2023-11-30T09:00:00.000Z,,PT24M18S,,https://www.youtube.com/watch?v=xTtM2AvCRyA,True,True,True
ama-14-2023-philanthropy-evening-routine-light-therapy-health-metrics-more,"AMA #14: 2023 Philanthropy, Evening Routine, Light Therapy, Health Metrics & More",https://www.hubermanlab.com/episode/ama-14-2023-philanthropy-evening-routine-light-therapy-health-metrics-more,2023-12-31T09:00:00.000Z,,PT1H5M11S,,https://www.youtube.com/watch?v=zbpb1wd-wvs,True,True,True
ama-15-fluoride-benefits-risks-vagus-nerve-stimulation,AMA #15: Fluoride Benefits/Risks & Vagus Nerve Stimulation,https://www.hubermanlab.com/episode/ama-15-fluoride-benefits-risks-vagus-nerve-stimulation,2024-02-01T09:00:00.000Z,,,,https://www.youtube.com/watch?v=j2sMqSDLd4k,True,True,True
ama-16-sleep-vertigo-tbi-ocd-tips-for-travelers-gut-brain-axis-more,"AMA #16: Sleep, Vertigo, TBI, OCD, Tips for Travelers, Gut-Brain Axis & More",https://www.hubermanlab.com/episode/ama-16-sleep-vertigo-tbi-ocd-tips-for-travelers-gut-brain-axis-more,2024-02-29T09:00:00.000Z,,PT56M49S,,https://www.youtube.com/watch?v=gE0_8AjTFaM,True,True,True
ama-17-making-time-for-fitness-top-sleep-tools-best-learning-strategies,"AMA #17: Making Time for Fitness, Top Sleep Tools & Best Learning Strategies",https://www.hubermanlab.com/episode/ama-17-making-time-for-fitness-top-sleep-tools-best-learning-strategies,2024-04-30T08:00:00.000Z,,,,https://www.youtube.com/watch?v=jGZ1mR9uLU0,True,True,True
ama-18-cold-therapy-advice-skin-health-tips-motivation-learning-strategies-more,"AMA #18: Cold Therapy Advice, Skin Health Tips, Motivation, Learning Strategies & More",https://www.hubermanlab.com/episode/ama-18-cold-therapy-advice-skin-health-tips-motivation-learning-strategies-more,2024-08-02T08:00:00.000Z,,,,https://www.youtube.com/watch?v=Gf-kC30SLtc,True,False,True
ama-19-collagen-vs-whey-protein-creatine-smelling-salts-stimulants,"AMA #19: Collagen vs. Whey Protein, Creatine, Smelling Salts, Stimulants & More",https://www.hubermanlab.com/episode/ama-19-collagen-vs-whey-protein-creatine-smelling-salts-stimulants,2025-04-25T17:15:00.000Z,,,,https://www.youtube.com/watch?v=q-wRvsiGYIs,True,True,True
ama-2-improve-sleep-reduce-sugar-cravings-optimal-protein-intake-stretching-frequency-more,"AMA #2: Improve Sleep, Reduce Sugar Cravings, Optimal Protein Intake, Stretching Frequency & More",https://www.hubermanlab.com/episode/ama-2-improve-sleep-reduce-sugar-cravings-optimal-protein-intake-stretching-frequency-more,2022-12-08T09:00:00.000Z,,,,https://www.youtube.com/watch?v=vZ4kOr38JhY,True,True,True
ama-3-adaptogens-fasting-fertility-bluetooth-emf-risks-cognitive-load-limits-more,"AMA #3: Adaptogens, Fasting & Fertility, Bluetooth/EMF Risks, Cognitive Load Limits & More",https://www.hubermanlab.com/episode/ama-3-adaptogens-fasting-fertility-bluetooth-emf-risks-cognitive-load-limits-more,2023-01-13T09:00:00.000Z,,,,https://www.youtube.com/watch?v=uak_dXHh6s4,True,False,True
ama-4-maintain-motivation-improve-rem-sleep-set-goals-manage-anxiety-more,"AMA #4: Maintain Motivation, Improve REM Sleep, Set Goals, Manage Anxiety & More",https://www.hubermanlab.com/episode/ama-4-maintain-motivation-improve-rem-sleep-set-goals-manage-anxiety-more,2023-02-24T09:00:00.000Z,,,,https://www.youtube.com/watch?v=S8nPJU9xkNw,True,False,True
ama-5-intrusive-thoughts-cgms-behavioral-change-naps-nsdr,"AMA #5: Intrusive Thoughts, CGMs, Behavioral Change, Naps & NSDR",https://www.hubermanlab.com/episode/ama-5-intrusive-thoughts-cgms-behavioral-change-naps-nsdr,2023-03-24T08:00:00.000Z,,,,https://www.youtube.com/watch?v=cp9GXl9Qk_s,True,False,True
