index,title,citation,internal_url,doi_urls,source_url
1,Virtual reality stimulation for neuroprotection and neuroenhancement of vision in optic neuropathy patients: a prospective clinical trial,"Healzer, K., Khatib, T., Beykin, G., Wennberg-Smith, Z., Nuñez, M., Huberman, A., & Goldberg, J. (2025). Virtual reality stimulation for neuroprotection and neuroenhancement of vision in optic neuropathy patients: a prospective clinical trial. BMC Ophthalmology, 26. https://doi.org/10.1186/s12886-025-04576-w",https://hubermanlab.stanford.edu/publications/glaucoma/virtual-reality-stimulation-neuroprotection-and-neuroenhancement-vision-optic,https://doi.org/10.1186/s12886-025-04576-w,https://hubermanlab.stanford.edu/publications
2,In conversation with Andrew Huberman,"Wiseman, S. (2023, July 10). In conversation with Andrew Huberman. Nature Neuroscience.",https://hubermanlab.stanford.edu/publications/conversation-andrew-huberman,,https://hubermanlab.stanford.edu/publications
3,Postsynaptic neuronal activity promotes regeneration of retinal axons,"Varadarajan, S., Wang, F., Dhande, O., Duan, X., & Huberman, A. (2023). Postsynaptic neuronal activity promotes regeneration of retinal axons. Cell Reports, 42(5). https://doi.org/10.1016/j.celrep.2023.112476",https://hubermanlab.stanford.edu/publications/retinal-ganglion-cells/postsynaptic-neuronal-activity-promotes-regeneration-retinal,https://doi.org/10.1016/j.celrep.2023.112476,https://hubermanlab.stanford.edu/publications
4,Brief structured respiration practices enhance mood and reduce physiological arousal,"Balban, M., Neri, E., Kogon, M., Weed, L., Nouriani, B., Jo, B., Holl, G., Zeitzer, J., Spiegel, D., & Huberman, A. (2023). Brief structured respiration practices enhance mood and reduce physiological arousal. Cell Reports Medicine. https://doi.org/10.1016/j.xcrm.2022.100895",https://hubermanlab.stanford.edu/publications/brief-structured-respiration-practices-enhance-mood-and-reduce-physiological-arousal,https://doi.org/10.1016/j.xcrm.2022.100895,https://hubermanlab.stanford.edu/publications
5,Characterization of non-alpha retinal ganglion cell injury responses reveals a possible block to restoring ipRGC function,"Hunyara, J., Foshe, S., Varadarajan, S., Gribble, K., Huberman, A., & Kolodkin, A. (2022). Characterization of non-alpha retinal ganglion cell injury responses reveals a possible block to restoring ipRGC function. Experimental Neurology. https://doi.org/10.1016/j.expneurol.2022.114176",https://hubermanlab.stanford.edu/publications/retinal-ganglion-cells/characterization-non-alpha-retinal-ganglion-cell-injury,https://doi.org/10.1016/j.expneurol.2022.114176,https://hubermanlab.stanford.edu/publications
6,Central nervous system regeneration,"Varadarajan, S., Hunyara, J., Hamilton, N., Kolodkin, A., & Huberman, A. (2022). Central nervous system regeneration. Cell, 185(1), 77-94. https://doi.org/10.1016/j.cell.2021.10.029",https://hubermanlab.stanford.edu/publications/central-nervous-system-regeneration,https://doi.org/10.1016/j.cell.2021.10.029,https://hubermanlab.stanford.edu/publications
7,Thalamus: Then and now,"Guido, W., & Huberman, A. (2021). Thalamus: Then and now. Journal of Comparative Neurology, 530(7), 943-944. https://doi.org/10.1002/cne.25288",https://onlinelibrary.wiley.com/doi/full/10.1002/cne.25288,https://doi.org/10.1002/cne.25288,https://hubermanlab.stanford.edu/publications
8,Divergent outputs of the ventral lateral geniculate nucleus mediate visually evoked defensive behaviors,"Salay, L., & Huberman, A. (2021). Divergent outputs of the ventral lateral geniculate nucleus mediate visually evoked defensive behaviors. Cell Reports, 37(1). https://doi.org/10.1016/j.celrep.2021.109792",https://hubermanlab.stanford.edu/publications/thalamus/divergent-outputs-ventral-lateral-geniculate-nucleus-mediate-visually-evoked,https://doi.org/10.1016/j.celrep.2021.109792,https://hubermanlab.stanford.edu/publications
9,Sight Restored By Turning Back the Epigenetic Clock,"Huberman, A. (2020). Sight Restored By Turning Back the Epigenetic Clock. Nature. https://www.nature.com/articles/d41586-020-03119-1",https://www.nature.com/articles/d41586-020-03119-1,,https://hubermanlab.stanford.edu/publications
10,Human Responses to Visually Evoked Threat,"Balban, M., Cafaro, E., Fletcher, L., Washington, M., Bijanzadeh, M. ., Lee, A., Chang, E., & Huberman, A. (2020). Human Responses to Visually Evoked Threat. Current Biology, 31(3), 601-612. https://doi.org/10.1016/j.cub.2020.11.035",https://hubermanlab.stanford.edu/publications/virtual-reality/human-responses-visually-evoked-threat,https://doi.org/10.1016/j.cub.2020.11.035,https://hubermanlab.stanford.edu/publications
11,Neurotoxic Reactive Astrocytes Drive Neuronal Death after Retinal Injury,"Guttenplan, K., Stafford, B. ., El-Danaf, R., Adler, D. ., Münch, A., Weigel, M., Huberman, A., & Liddelow, S. (2020). Neurotoxic Reactive Astrocytes Drive Neuronal Death after Retinal Injury. Cell Reports, 31(12). https://doi.org/10.1016/j.celrep.2020.107776",https://hubermanlab.stanford.edu/publications/astrocytes/neurotoxic-reactive-astrocytes-drive-neuronal-death-after-retinal-injury,https://doi.org/10.1016/j.celrep.2020.107776,https://hubermanlab.stanford.edu/publications
12,Neuroscience: A Chromatic Retinal Circuit Encodes Sunrise and Sunset for the Brain,"Rivera, A., & Huberman, A. (2020). Neuroscience: A Chromatic Retinal Circuit Encodes Sunrise and Sunset for the Brain. Current Biology. https://doi.org/10.1016/j.cub.2020.02.090",https://doi.org/10.1016/j.cub.2020.02.090,https://doi.org/10.1016/j.cub.2020.02.090,https://hubermanlab.stanford.edu/publications
13,Fear: It’s All in Your Line of Sight,"Yilmaz, M., & Huberman, A. (2019). Fear: It’s All in Your Line of Sight. Current Biology. https://doi.org/10.1016/j.cub.2019.10.008",https://doi.org/10.1016/j.cub.2019.10.008,https://doi.org/10.1016/j.cub.2019.10.008,https://hubermanlab.stanford.edu/publications
14,Molecular Fingerprinting of On–Off Direction-Selective Retinal Ganglion Cells Across Species and Relevance to Primate Visual Circuits,"Dhande, O., Stafford, B., Franke, K., El-Danaf, R., Percival, K., Phan, A., Li, P., Hansen, B., Nguyen, P., Berens, P., Taylor, W., Callaway, E., Euler, T., & Huberman, A. (2019). Molecular Fingerprinting of On–Off Direction-Selective Retinal Ganglion Cells Across Species and Relevance to Primate Visual Circuits. The Journal of Neuroscience, 39(1), 78-95. https://doi.org/10.1523/JNEUROSCI.1784-18.2018",https://hubermanlab.stanford.edu/publications/direction-selectivity/molecular-fingerprinting-direction-selective-retinal-ganglion,https://doi.org/10.1523/JNEUROSCI.1784-18.2018,https://hubermanlab.stanford.edu/publications
