episode_id,episode_number,title,date_published,youtube_id,youtube_url,priority,transcript_status,analysis_status,notes_status,timestamp_status,caption_provenance
dr-david-yeager-how-to-master-growth-mindset-to-improve-performance,,Dr. David Yeager: How to Master Growth Mindset to Improve Performance,,etEJrznE-c0,https://www.youtube.com/watch?v=etEJrznE-c0,high,downloaded,analyzed,available,available,
dr-jamil-zaki-how-to-cultivate-a-positive-growth-oriented-mindset,,"Dr. Jamil Zaki: How to Cultivate a Positive, Growth-Oriented Mindset",,U2BPitASUh0,https://www.youtube.com/watch?v=U2BPitASUh0,high,downloaded,analyzed,available,available,
dr-matthew-hill-how-cannabis-impacts-health-the-potential-risks,,Dr. Matthew Hill: How Cannabis Impacts Health & the Potential Risks,,jouFvyRZntk,https://www.youtube.com/watch?v=jouFvyRZntk,high,downloaded,analyzed,available,available,
dr-sam-harris-using-meditation-to-focus-view-consciousness-and-expand-your-mind,,"Dr. Sam Harris: Using Meditation to Focus, View Consciousness & Expand Your Mind",,-wIt_WsJGfw,https://www.youtube.com/watch?v=-wIt_WsJGfw,high,downloaded,analyzed,available,available,
erasing-fears-and-traumas-based-on-the-modern-neuroscience-of-fear,,Erasing Fears & Traumas Based on the Modern Neuroscience of Fear,,31wjVhCcI5Y,https://www.youtube.com/watch?v=31wjVhCcI5Y,high,downloaded,analyzed,available,available,
essentials-tools-for-hormone-optimization-in-males-kyle-gillett,,Essentials: Tools for Hormone Optimization in Males | Dr. Kyle Gillett,,O-groYMqrQw,https://www.youtube.com/watch?v=O-groYMqrQw,high,downloaded,analyzed,available,available,
improve-lymphatic-system-health-appearance,,Improve Your Lymphatic System for Overall Health & Appearance,,KBkl3I645c8,https://www.youtube.com/watch?v=KBkl3I645c8,high,downloaded,analyzed,available,available,
the-science-of-vision-eye-health-and-seeing-better,,"The Science of Vision, Eye Health & Seeing Better",,ObtW353d5i0,https://www.youtube.com/watch?v=ObtW353d5i0,high,downloaded,analyzed,available,available,
welcome-to-the-huberman-lab-podcast,,Welcome to the Huberman Lab Podcast,2020-12-23T09:00:00.000Z,4b6bwcWK6GE,https://www.youtube.com/watch?v=4b6bwcWK6GE,high,downloaded,analyzed,available,missing,
how-your-nervous-system-works-and-changes,1,How Your Brain Works & Changes,2021-01-04T09:00:00.000Z,H-XfCl-HpRM,https://www.youtube.com/watch?v=H-XfCl-HpRM,high,downloaded,analyzed,available,available,
master-your-sleep-and-be-more-alert-when-awake,2,Master Your Sleep & Be More Alert When Awake,2021-01-11T09:00:00.000Z,nm1TxQj9IsQ,https://www.youtube.com/watch?v=nm1TxQj9IsQ,high,downloaded,analyzed,available,available,
using-science-to-optimize-sleep-learning-and-metabolism,3,"Using Science to Optimize Sleep, Learning & Metabolism",2021-01-18T09:00:00.000Z,nwSkFq4tyC0,https://www.youtube.com/watch?v=nwSkFq4tyC0,high,downloaded,analyzed,available,available,
find-your-temperature-minimum-to-defeat-jetlag-shift-work-and-sleeplessness,4,"How to Defeat Jet Lag, Shift Work & Sleeplessness",2021-01-25T09:00:00.000Z,NAATB55oxeQ,https://www.youtube.com/watch?v=NAATB55oxeQ,high,downloaded,analyzed,available,available,
understanding-and-using-dreams-to-learn-and-to-forget,5,Understand and Use Dreams to Learn and Forget,2021-02-01T09:00:00.000Z,FFwA0QFmpQ4,https://www.youtube.com/watch?v=FFwA0QFmpQ4,high,downloaded,analyzed,available,available,
how-to-focus-to-change-your-brain,6,How to Focus to Change Your Brain,2021-02-08T09:00:00.000Z,LG53Vxum0as,https://www.youtube.com/watch?v=LG53Vxum0as,high,downloaded,analyzed,available,available,
using-failures-movement-and-balance-to-learn-faster,7,"Using Failures, Movement & Balance to Learn Faster",2021-02-15T09:00:00.000Z,hx3U64IXFOY,https://www.youtube.com/watch?v=hx3U64IXFOY,high,downloaded,analyzed,available,available,
